,name,equipment,primaryMuscleGroups,primaryMuscles,secondaryMuscleGroups,type,tags,instructions
78,barbell rear lunge,barbell,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],Stand holding a barbell on your upper back and with your feet together. Step backwards with one foot and lower your body by bending at the knees until the knee of your rear leg touches the floor. Keep your body upright throughout the motion. Stand back up and return your back leg to beside your front leg.
79,dumbbell split squat,dumbbells,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],Stand holding two dumbbells at your sides with straight arms and with one of your feet in front of the other. Lower your body by bending at the knees until the knee of your rear leg touches the floor. Keep your body upright throughout the motion. Stand back up by straightening your legs.
80,dumbbell front squat,dumbbells,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],"Hold two dumbbells, resting one of their weighted sides on your shoulders with high elbows in front of you. Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Take a deep breath and brace your core. Squat down by bending at the hips and knees to a comfortable depth, allowing your torso to lean forwards slighty and keeping the dumbbells in line with the middle of your foot. Aim for your thighs to be parallel or beneath parallel to the floor. Stand back up with the weight to the starting position by extending the hips and knees until your torso angle and legs are straight."
81,dumbbell rear lunge,dumbbells,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],Stand holding two dumbbells at your sides with straight arms and with your feet together. Step backwards with one foot and lower your body by bending at the knees until the knee of your rear leg touches the floor. Keep your body upright throughout the motion. Stand back up and return your back leg to beside your front leg.
82,cable kickback,cable,['legs'],['gluteal muscles'],[],isolation,[],Stand in front of a low cable machine with a cuff attachment attached to one of your ankles or feet. Lean your torso forwards by approximately 45 degrees and bend yuor attached leg at the knee to create tension in the cable. Use your hands to stabilise yourself. Bent slightly at the knee with your planted leg. Pull the cable attachment back by extending the hip and knee of your attached leg as much as possible. Return your attached leg to the starting position.
83,machine donkey calf raise,machine,['legs'],['calves'],[],isolation,[],"Stand on the raised platform with the balls of your feet, and your heels lowered beneath the level of the platform. Lean over by bending at the hips and place your lower back against the back pad. Place your elbows on the elbow pads and grip the handles in front of them. Straighten your legs to slightly raise the weight. Raise yourself as high as possible by extending your ankles as much as possible. Lower yourself by flexing at the ankle, lowering your heels beneath the platform your are standing on while maintaining straight legs."
84,calf extension,machine,['legs'],['calves'],[],isolation,[],Sit on the machine seat with the balls of your feet on the foot pad. Graps the handles at your sides. Your legs should be straight or close to straight and your back should be fully against the back pad. Push the foot pad away from you by extending your ankles as much as possible before allowing it to return to the starting position. Maintain the same knee angle throughout.
85,glute-ham raise,machine,['legs'],['hamstrings'],['back'],isolation,[],"Place your ankles in between the roller pads, and place your feet on the platform behind them. Place your lower thighs on the large support pad. Start in an upright position, with your legs bent. Lower your body from vertical by straightening your legs and allowing your torso to go upside down by flexing your hips. Raise your body back to the starting upright position by extending your hips and flexing the knees."
86,smith machine squat,smith machine,['legs'],"['quadriceps', 'gluteal muscles']","['core', 'back']",compound,[],"Set up in front of a racked barbell at shoulder height. Grip the bar evenly on the barbell outside of shoulder width. Step underneath the bar and place it comfortably on top of your shoulders or upper back. Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Stand up with the bar to unrack it. Take a deep breath and brace your core. Squat down by bending at the hips and knees to a comfortable depth, allowing your torso to lean forwards slighty. Aim for your thighs to be parallel or beneath parallel to the floor. Stand back up with the weight to the starting position by extending the hips and knees until your torso angle and legs are straight."
87,smith machine hip thrust,smith machine,['legs'],['gluteal muscles'],[],isolation,[],"Begin sitting on the floor in a smith machine, with your upper back resting on a bench and the barbell on top of your hips. Your knees should be bent, and your feet flat on the floor. Optionally you can have a barbell pad, or folded yoga mat on the bar where it will rest on your hip. Raise your hips to unrack the bar and lower it. Raise your hips and flex your glutes until your hips are fully extended. Lower the bar to the starting position by bending at the hip."
88,band adduction,resistance band,['legs'],['adductors'],[],isolation,[],"Stand sideways to a stationary post. Loop a resistance band around the post, and loop the other end around your ankle closest to the post. Stand to the side of the stationary post to create tension in the band and allow it to pull your leg sideways towards the post while straight. Hold onto something to stabilise yourself. Bring your leg attached to the band across your planted leg while keeping it straight. Return your leg to the starting position out to your side with control."
89,donkey calf raise,misc,['legs'],['calves'],[],isolation,[],"Lean over by flexing at the hips and use your hands/arms to stabilise yourself. Add weight on top of your lower back, usually by having another person sit on top of it. Stand on the balls of your feet by slighly raising your heels off the floor. Keeping your legs straight or close to straight, raise yourself up as high as you can by extending your ankles as much as possible. Lower yourself back to the starting position with your heels slightly off the floor."
90,lying knee raise,body weight,['core'],['rectus abdominis'],[],isolation,[],"Lie with your back flat against the floor and straight legs. With your lower back flat against the floor, raise your knees towards your torso as much as you can while flexing your knees. Straighten and lower your legs back to the starting position."
91,hanging twisting knee raise,body weight,['core'],"['rectus abdominis', 'obliques']",[],isolation,[],"Grasp and hang from a high bar that allows your body to be straight when hanging. Without swinging, raise your knees as high as possible and to one side, allowing your knees to flex. Straighten and lower your legs to the starting position. Repeat the movement, raising your knees to the opposite side."
92,deficit deadlift,barbell,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,['powerlifting'],"Stand on top of a slightly raised platform, with the bar on the floor, not raised to the same level as your feet. Perform a deadlift from the heightened position."
93,reverse banded bench press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,['powerlifting'],"On both ends of the barbell, attach a band to the bar and a high peg. This can be done using a squat rack or an alternate setup. Ensure that the band is fully vertical and in tension to start after unracking the bar. Perform a bench press with the barbell with the assistance of the band."
94,stiff legged deadlift,barbell,"['legs', 'back']","['gluteal muscles', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,['powerlifting'],"Set up with your shins approximately an inch away from the barbell, at a width slightly narrower than shoulder width apart. Your feet should be pointing straight forward or very slightly outwards. Grip the bar outside of your knees with straight arms. Set your hips to a height that is higher than your conventional stance, keeping your legs as straight as comfortable and push your knees outwards. Brace your back by depressing and retracting your scapula, and brace your core after breathing in. While maintaining a flat back drag the bar up your body staying braced and finish the lift by pushing your hips through and flexing the glutes to stand up straight."
95,dumbbell shrug,dumbbells,['back'],['trapezius'],[],isolation,[],"Stand up straight, or sit down holding dumbbells on either side of you with straight arms and relaxed shoulders. Retract your scapula and evelate the shoulders as high as possible before returning to the starting position with relaxed shoulders."
96,machine tricep dip,machine,['arms'],['triceps'],"['shoulders', 'chest']",compound,[],Sit on the machine seat and place your grip on top of the machine handles at your sides with bent elbows pointing backwards. Keep your back against the machine back pad. Press the machine handles downwards until your arms are staight before returning the machine handles to the starting position and tracking your elbows backwards as you do so.
97,pushup,body weight,"['arms', 'chest']","['triceps', 'lower chest']","['shoulders', 'core']",compound,[],"Place your hands on the ground facing forwards at shoulder width, ensuring your shoulder, elbow and wrist are stacked. Straighten your legs and support your body on your toes and hands. Ensure that your body is straight by bracing your core and not letting your lower back dip down. Protract and depress your scapula. Lower your body by bending at the elbows until your chest touches the ground, maintaining a straight body and retracting your scapula throughout the motion. Push yourself back up to the starting position while maintaining a straight body."
98,smith machine decline bench press,smith machine,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,[],"Set your feet against the bench supports and lie on the declined bench  with the racked bar above your lower chest. Place your hands slightly wider than shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Leverage yourself against the bar to retract and depress your scapula. Unrack the bar with straight arms. Lower the bar in a controlled manner until it touches your lower chest, before pressing it back to its starting position, all while maintaining the same scapula position."
99,arnold press,dumbbells,"['shoulders', 'arms']","['lateral deltoid', 'anterior deltoid', 'triceps']",['back'],compound,[],Hold two dumbbells in front of you at shoulder height with a supinated grip and pronated scapula. Simultaneously bring your elbows outwards and rotate to a pronated grip while pressing the dumbbells overhead. Press until your arms are straight and elevate your scapula before returning the dumbbells to the starting position.
100,wall hand stand pushup,body weight,['shoulders'],"['triceps', 'lateral deltoid', 'anterior deltoid']","['arms', 'back']",compound,['calisthenics'],"Assume a handstand position against a wall, with your body facing towards or away from the wall and with straight arms and elevated shoulders. Keeping your body as straight as possible and while staying upright, lower your head towards the floor by bending your elbows. Once your head is close to touching the floor, push yourself back to the starting position with straight arms."
101,barbell reverse wrist curl,dumbbells,['arms'],['forearm extensors'],[],isolation,[],"Grasp a barbell with a pronated grip and straight arms at shoulder width while standing. Begin with relaxed wrists. Move the barbell slightly upwards and towards yourself by curling your wrist up as much as possible, keeping your arms straight. Lower the barbell slightly back to the starting position by relaxing your wrists."
102,dumbbell kickback,dumbbells,['arms'],['triceps'],[],isolation,[],"Hold two dumbbells with a neutral grip. Assume starting position by bending over until your torso angle is near horizontal, allowing your knees to bend slightly. Begin with your arms bent at 90 degrees and your upper arms in iine with your torso so that the dumbbells are facing downwards. While keeping the same torso angle and keeping your upper arm position the same, push the dumbbells back behind you by straightening your arms until your forearm is also in line with your body. Return the dumbbell to the starting position pointing downwards by bending at the elbows."
103,cable rope curl,cable,['arms'],"['biceps', 'brachioradialis']",[],isolation,[],"Grasp both sides of the the rope attachment of a low cable with a neutral grip and straight arms. While keeping your back angle upright and preventing swinging, curl the rope up by bending your arms at the elbows as far as they go and pulling the rope apart. Lower the rope attachment back to the starting position."
104,dip machine tricep pushdown,machine,['arms'],['triceps'],[],isolation,[],"Stand in front of an assisted dip machine, with the support pad at lower chest level. Place your palms on the support pad with bent elbows. Push the pad down until your arms are straight. Allow the pad to return the starting position by bending your elbows."
105,ez bar reverse curl,barbell,['arms'],['brachioradialis'],[],isolation,[],"Grasp the bar with a pronated grip at shoulder width, and straight arms. Raise the bar up by bending at the elbows as much as possible. Avoid swinging and keep your back angle upright. Lower the bar to the starting position with straight arms."
106,barbell split squat,barbell,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],Stand holding a barbell on your upper back and with one of your feet in front of the other. Lower your body by bending at the knees until the knee of your rear leg touches the floor. Keep your body upright throughout the motion. Stand back up by straightening your legs.
107,leg extension,machine,['legs'],['quadriceps'],[],isolation,[],"Sit on the leg extension machine with your back fully against the back pad. The back of your knees should reach the end of the seat. Place the front of your ankles against the pad, your knees should be bent at around 90 degrees. Place your hands on the handles at your sides and use them to keep yourself stable. Raise the pad by extending your legs against the pad until they are straight. Lower the pad back to the starting position with control by bending at the knees."
108,machine standing calf raise,machine,['legs'],['calves'],[],isolation,[],"Stand on the raised platform with the balls of your feet, and your heels lowered beneath the level of the platform. Place your head between the two shoulder pads, and place the top of your trapezius/shoulders against them. Straighten your legs to slightly raise the weight. Raise yourself as high as possible by extending your ankles as much as possible. Lower yourself by flexing at the ankle, lowering your heels beneath the platform your are standing on while maintaining straight legs."
109,seated abduction,machine,['legs'],['calves'],[],isolation,[],"Sit on the machine seat with the outside of your legs against the pads. Your legs should be close together to start, and they should be bent at the knees. Grap the handles at the sides of your seat. Bring your legs as close together as possible by pressing them against the pads."
110,smith machine zercher squat,smith machine,['legs'],"['quadriceps', 'gluteal muscles']","['core', 'back']",compound,[],"Set up in front of a racked barbell at stomach height. Step underneath the bar and wrap your arms around the bar, resting it in your elbow crease. Set your feet at a comfortable width and angle, usually at shoulder width with toes pointed out slightly. Stand up with the bar to unrack it. Take a deep breath and brace your core. Squat down by bending at the hips and knees to a comfortable depth, allowing your torso to lean forwards slighty. Aim for your thighs to be parallel or beneath parallel to the floor. Stand back up with the weight to the starting position by extending the hips and knees until your torso angle and legs are straight."
111,smith machine stiff legged deadlift,barbell,"['legs', 'back']","['gluteal muscles', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,[],"Set up in a smith machine with your shins approximately an inch away from the barbell, at a width slightly narrower than shoulder width apart. Your feet should be pointing straight forward or very slightly outwards. Grip the bar outside of your knees with straight arms. Set your hips to a height that is higher than your conventional stance, keeping your legs as straight as comfortable and push your knees outwards. Brace your back by depressing and retracting your scapula, and brace your core after breathing in. While maintaining your torso angle drag the bar up your body staying braced and finish the lift by pushing your hips through and flexing the glutes to stand up straight."
112,single leg glute bridge,body weight,['legs'],['gluteal muscles'],[],isolation,[],"Lie with your back against the floor, your feet flat on the floor and bent knees. Straighten one leg fully and keep it in line with your torso angle. Begin with your hips lowered so your lower back is against the floor. Extend your hips fully and flex your glutes to raise your hips and straightened leg above the floor. Lower your hips back to the starting position."
113,pistol squat,body weight,['legs'],"['quadriceps', 'gluteal muscles']",[],compound,['calisthenics'],"Stand up straight on one leg, with your other leg slightly raise off the floor. Raise your arms in front of you for balance. Squat down by flexing at the knee and hip of your planted leg while keeping your elevated leg off the ground by allowing it to move forwards in front of you. Lower yourself until your planted leg is fully flexed at the knee and hip. Stand back up by extending your knee and hips until you return to the starting position."
114,plank,body weight,['core'],"['rectus abdominis', 'transverse abdominis']",[],isolation,[],"Lie on the floor, supporting your body above the floor on your forearms and your toes with straight legs and bent arms. Keep your body straight from your shoulders down to your feet, ensuring your core is braced and your glutes are contracted. Do not allow your lower back to dip down. Maintain this position."
115,bird dog,body weight,['core'],"['obliques', 'rectus abdominis', 'transverse abdominis']",[],isolation,[],"Assume a kneeling plank position, supporting your body on your hands and knees. Straighten one of your legs behind you, and raise the arm on the opposite side straight in front of you. Your raised arm and leg should be in line with your torso. Return your raised arm and leg to their starting positions on the floor. Repeat the motion with your arm and leg on the opposite sides."
116,dip bar knee raise,body weight,['core'],['rectus abdominis'],[],isolation,[],"Support yourself with straight arms on dip bars and allow your body to be straight. Without swinging, raise your knees as high as possible, allowing your knees to flex. Straighten and lower your legs to the starting position."
117,hanging flutter kicks,body weight,['core'],"['rectus abdominis', 'transverse abdominis']",[],isolation,[],"Hang from a high bar with a grip of your choosing. While maintaining an upright, straight torso, raise your legs until they are horizontal while keeping them straight also. While keeping your lower back flat, flutter your legs by raising one of them slightly, and lowering the other, then quickly reversing the motion repeatedly."
118,dip bar twisting knee raise,body weight,['core'],"['rectus abdominis', 'obliques']",[],isolation,[],"Support yourself with straight arms on dip bars and allow your body to be straight. Without swinging, raise your knees as high as possible and to one side, allowing your knees to flex. Straighten and lower your legs to the starting position. Repeat the movement, raising your knees to the opposite side."
119,hanging around the world,body weight,['core'],"['rectus abdominis', 'obliques']",[],isolation,[],"Grasp and hang from a high bar that allows your body to be straight when hanging. Without swinging, raise your legs as high as possible beginning from one side in a circular motion, keeping them straight or as close to straight as possible. Lower your legs to the starting position on the opposite side that your raised them. Repeat the motion, raising your legs starting from the opposite side."
120,rack pull,barbell,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,['powerlifting'],"Set up the safety racks inside of a squat rack to a low height, such that resting a weighted barbell on them elevates it above the floor. Place the barbell on the safety racks. Deadlift the barbell."
121,snatch grip deadlift,barbell,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,"['powerlifting', 'olympic']","Set up with your shins approximately an inch away from the barbell, at a width slightly narrower than shoulder width apart. Your feet should be pointing slightly outwards. Grip the bar with a snatch grip, well outside of your knees with a wide grip straight arms. Set your hips to a comfortable height which should be lower than your standard deadlift height and push your knees outwards. Brace your back by depressing and retracting your scapula, and brace your core after breathing in. Push with your legs while maintaining your torso angle to lift the bar, staying braced and finish the lift by pushing your hips through and flexing the glutes to stand up straight."
122,bent over barbell row,barbell,['back'],"['latissimus dorsi', 'trapezius']",['arms'],compound,[],"Set your feet and shoulder width apart, and grip the barbell at a comfortable width outside of your knees. Brace your core and lift the bar slightly off the ground with straight arms and a straight back. Row the barbell towards your body by driving your elbows up, maintaining the same back angle, making contact with your stomach then returning the bar to its original position slightly above the ground."
123,straight arm pull down,cable,['back'],['latissimus dorsi'],[],isolation,[],"Grip a straight cable attachment at shoulder width with straight arms of a high cable, assuming an athletic stance. While keeping your arms straight, pull the bar down and towards your body until it touches your thighs, depressing and retracting your scapula. Return the cable attachment to the original position."
124,incline dumbbell row,dumbbells,['back'],"['trapezius', 'latissimus dorsi']",['arms'],compound,[],"Lie stomach down on an inclined bench, setting your feet comfortably on the ground. Reach down to grip the dumbbells at your side and lift them slightly off the floor with straight arms. Row the dumbbells up as close to your body as possible by driving your elbows back before returning them to their starting position with straight arms."
125,reverse hyperextension,body weight,"['back', 'legs']","['gluteal muscles', 'erector spinae']",[],compound,[],"This exercise can be done using a machine or an alternative similar setup. Lie face down on a high flat surface with your torso, leaving room for your legs to hinge downwards from the hip. Use your arms to hold yourself in place and raise your legs while keeping them straight to extend your back. Lower your legs to the starting position."
126,smith machine romanian deadlift,smith machine,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,['powerlifting'],"Unrack the barbell standing straight at the top of a regular deadlift motion. Breath in and brace your core, depress and retract your scapula to brace your back, and stay braced. Push your hips backwards to begin lowering the bar and bend at the knees appropriately to lower the bar until it is almost touching the ground. Before the bar touches the ground, drag the bar back up your body to the starting position as if performing a regular deadlift"
127,paused bench press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,['powerlifting'],"Set your feet at a stable position and lie on a flat bench with the racked bar above your face. Place your hands slightly wider than shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Leverage yourself against the bar to retract and depress your scapula, and push with your legs to reinforce your lower back arch. Unrack the bar and bring it forwards over your chest with straight arms. Lower the bar in a controlled manner until it touches your lower chest, pause for a second before pressing it back to its starting position, all while maintaining the same scapula position and lower back arch."
128,decline bench press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,[],"Set your feet against the bench supports and lie on the declined bench  with the racked bar above your face. Place your hands slightly wider than shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Leverage yourself against the bar to retract and depress your scapula. Unrack the bar and bring it forward over your chest with straight arms. Lower the bar in a controlled manner until it touches your lower chest, before pressing it back to its starting position, all while maintaining the same scapula position"
129,feet up bench press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,['powerlifting'],"Lie on a flat bench with the racked bar above your face and place your feet flat on the end of the bench. Place your hands slightly wider than shoulder width on the bar, ensuring the grip is even on both sides and the width is comfortable. Have a partner hold a board in the middle of your chest. Leverage yourself against the bar to retract and depress your scapula. Unrack the bar and bring it forwards over your chest with straight arms. Lower the bar in a controlled manner until it touches the board, pause for a second before pressing it back to its starting position, all while maintaining the same scapula position"
130,seated chest fly,machine,['chest'],['lower chest'],['shoulders'],isolation,[],"Sit on the machine seat with your back flat against the back pad. Grip the machine handles far out to your sides with a pronated grip or with your palms facing inwards, stretching the chest. Keep your elbows slightly bent and point them backwards. Bring the machine handles together, keeping your elbow angle the same until your hands or the handles touch in the centre. Return the machine handles to the original starting position out towards your sides."
131,gripless seated chest fly,machine,['chest'],['lower chest'],['shoulders'],isolation,[],"Sit on the machine seat with your back flat against the back pad. Place your elbows on the outside of the pads to your sides stretching the chest. Keep your elbows bent and point them backwards. Bring the pads at your side together, keeping your elbow angle the same until your the pads touch in the centre. Return the pads to the original starting position at your side."
132,chest dip,body weight,['chest'],['lower chest'],"['shoulders', 'arms']",compound,[],"Place your hands on top of two dip bars at your sides with a neutral grip. Begin with your arms straight and scapula depressed, elevating your body upwards. Ensure there is enough room underneath you to lower your body into. Lower your body by bending the elbows and pointing them outwards. Once your upper arm is parallel or slightly beneath parallel to the ground, push your body back up by straightening your arms to reach the starting position."
133,diamond pushup,body weight,"['arms', 'chest']","['triceps', 'lower chest']","['shoulders', 'core']",compound,[],"Place your hands on the ground together, forming a diamond shape with your fingers and thumbs and ensuring your shoulder, elbow and wrist are stacked. Straighten your legs and support your body on your toes and hands. Ensure that your body is straight by bracing your core and not letting your lower back dip down. Protract and depress your scapula. Lower your body by bending at the elbows and pointing them backwards until your chest touches the ground, maintaining a straight body and retracting your scapula throughout the motion. Push yourself back up to the starting position while maintaining a straight body."
134,dumbbell overhead press,dumbbells,"['arms', 'shoulders']","['anterior deltoid', 'lateral deltoid', 'triceps']",['back'],compound,[],"Set your feet at a comfortable width and pick up two dumbbells. Swing the dumbells up and hold them at your shoulders with your elbows underneath them and palms facing forwards. Flex your glutes and extend your hips, brace your core. Press the dumbbells overhead until your arms straighten above your head and elevate your scapula before returing the dumbbells to the starting position at shoulder level."
135,reverse cable fly,cable,['shoulders'],['posterior deltoid'],['back'],isolation,[],"Stand in between two cable attachments at shoulder level to your sides. Hold the right attachment with your left hand, and the left attachment with your right hand. The cables should cross over your body when resting. Bend your elbows slightly. Pull the cables apart s far as you can, maintaining the same elbow angle, and keeping your scapula depressed. Return the cable attachments to the starting position with your arms crossing over."
136,smith machine z press,smith machine,"['arms', 'shoulders']","['anterior deltoid', 'lateral deltoid', 'triceps']",['back'],compound,[],"Sit on the floor with your legs straight and spread apart in front of a racked barbell in a smith machine at upper chest height. Grip the barbell evenly with a shoulder width grip. Push your elbows forward so they are underneath the bar and stick your chest out. Unrack the barbell, holding it at neck level. Brace your core and keep your head back. Press the barbell overhead and push your head forward once the bar goes above your head. Push until your arms straighten above your head and elevate your scapula before returing the bar to the starting position at neck level."
137,standing barbell tricep extension,barbell,['arms'],['triceps'],[],isolation,[],"Stand with a barbell held overhead with a grip narrower than shoulder width and a pronated grip. Straighten your arms. Keeping your elbow position the same, lower the barbell behind your head by bending the elbows as much as possible and pointing them forwards. Push with the triceps to return the barbell to the overhead starting position with straight arms, still keeping the elbows in the same position."
138,preacher curl,barbell,['arms'],['biceps'],[],isolation,[],"Set up behind a preacher bench, with your upper arms resting on the pad. Grasp the barbell with a supinated grip within shoulder width and with straight arms. Curl the barbell up and towards yourself by bending at the elbows as much as you can while keeping the upper arm supported on the pad. Lower the barbell back to the original position with straight arms."
139,machine bicep curl,machine,['arms'],['biceps'],[],isolation,[],Sit on the machine seat and place your hands on the machine handles with a supinated grip. Rest the back of your upper arms on the arm support pad if the machine has them. Your arms should be straight or close to straight. Curl the handles upwards by bending your elbows as much as you can while keeping your upper arms on the pads if the machine has them. Lower the handles back to the starting position by allowing your arms to straighten.
140,machine tricep extension,machine,['arms'],['triceps'],[],isolation,[],Sit on the machine seat and place your hands on the machine handles with a pronated or neutral grip depending on the machine. Rest your triceps on the arm support pad if the machine has them. Your arms should be bent at an angle smaller than 90 degrees at the elbows. Push the handles away from you by straightening your arms while keeping your triceps on the support pad. Raise the handles back to the starting position by allowing your arms to bend.
141,ez bar upright row,barbell,['shoulders'],"['posterior deltoid', 'lateral deltoid', 'anterior deltoid']","['back', 'arms']",compound,[],"Hold onto a barbell with a pronated grip slightly within shoulder width and with straight arms. While keeping your scapula depressed, raise the bar to shoulder level, pointing your elbows outwards and upwards. Lower the barbell to the starting position with straight arms."
142,single leg barbell split squat,barbell,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],Stand holding a barbell on your upper back and with the top of one of your feet resting on an elevated surface behind you. Lower your body by bending at the knees until the knee of your rear leg is almost touching the floor. Keep your body upright throughout the motion. Stand back up by straightening your front leg.
143,dumbbell lunge,dumbbells,['legs'],"['gluteal muscles', 'quadriceps']",[],compound,[],Stand holding two dumbbells at your sides with straight arms and with your feet together. Step forwards with one foot and lower your body by bending at the knees until the knee of your rear leg touches the floor. Keep your body upright throughout the motion. Stand back up and return your front leg to beside your hind leg.
144,standing cable calf raise,cable,['legs'],['calves'],[],isolation,[],"Stand as close to directly above as possible to a low cable machine, grasping the cable attachment with straight arms. Stand up straight with your feet together to create tension in the cable. Optionally, stand with the balls of your feet on an elevated surface, and your heels hanging off. Push yourself along with the cable upwards by extending the ankles as much as possible. Return to the starting position but with your heels slightly off the floor, or as low as they can go on an elevated surface."
145,lying leg curl,machine,['legs'],['hamstrings'],[],isolation,[],"Lie face down on the machine, with your hip against the hinge on the pad. Place the back of your ankles against the ankle pad. Your legs should be straight or almost straight. Place your hands on the handles in front of you. Raise the ankle pad by curling your legs, bending at the knees as much as possible until your knee angle reaches approximately 90 degrees or lower. Allow the ankle pad to lower back to the starting position with control."
146,machine seated calf raise,machine,['legs'],['calves'],[],isolation,[],"Sit on the machine seat with the balls of your feet on the raised platform, and your heels lowered beneath the level of the platform. Place the top of your thighs against the supporting knee pad and grip the handles on top of it. Raise the knee pad as hi gh as possible by extending your ankles as much as possible. Lower the knee pad by flexing at the ankle, lowering your heels beneath the platform your feet are resting on."
147,body weight single leg calf raise,body weight,['legs'],['calves'],[],isolation,[],"Optionally, stand with the balls of your feet on an elevated surface, and your heels hanging off, otherwise stand with your feet together on the floor. Raise one of your legs so that your are standing on one foot. Hold something stable to balance yourself. Push yourself upwards by extending the ankle of your planted foot as much as possible. Return to the starting position but with your heel slightly off the floor, or as low as it can go on an elevated surface."
148,side plank,body weight,['core'],['obliques'],[],isolation,[],"Lie on the floor on your side, supporting your body on the forearm of your arm closest to the floor, and on the outer edge of your foot closest to the floor. Your body should be straight. Ensure that your hips are raised sufficiently such that your hips are high enough to be in line with your torso and legs."
149,lying leg raise,body weight,['core'],['rectus abdominis'],[],isolation,[],"Lie with your back flat against the floor and straight legs. With your lower back flat against the floor, raise your legs towards your torso as much as you can while keeping your legs straight. Lower your legs back to the starting position."
150,hanging knee raise,body weight,['core'],['rectus abdominis'],[],isolation,[],"Grasp and hang from a high bar that allows your body to be straight when hanging. Without swinging, raise your knees as high as possible, allowing your knees to flex. Straighten and lower your legs to the starting position."
151,dip bar leg raise,body weight,['core'],['rectus abdominis'],[],isolation,[],"Support yourself with straight arms on dip bars and allow your body to be straight. Without swinging, raise your legs as high as possible, keeping them straight or as close to straight as possible. Lower your legs to the starting position."
152,kneeling ab wheel,body weight,['core'],"['rectus abdominis', 'transverse abdominis']","['back', 'shoulders']",compound,[],"Kneel on the floor, grasping an ab wheel by the handles with straight arms. Start with the ab wheel close to your knees, and with your torso upright. Keeping your arms and torso straight, roll the ab wheel out in front of you until your body is close to horizontal. Roll the ab wheel back towards yourself to return to the starting position."
153,block pull,barbell,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,['powerlifting'],"Place the weighted sides of a barbell on top of slightly raised platforms or blocks. Set up in front of the barbell with your feet on the floor, beneath the starting level of the barbell. Deadlift the barbell."
154,paused deadlift,barbell,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,['powerlifting'],"Initiate the deadlift, pausing at a certain point in the motion before locking out momentarily. Lockout the deadlift from the paused position. Your core should be properly braced throughout."
155,chain deadlift,barbell,"['legs', 'back']","['gluteal muscles', 'quadriceps', 'latissimus dorsi', 'erector spinae', 'trapezius', 'hamstrings']",['core'],compound,['powerlifting'],"Attach chains onto both ends of the barbell. The length of the chain should allow the chain to mostly rest on the floor when the barbell is on the floor, and mostly off the floor at lockout. Deadlift the barbell."
156,reverse banded deadlift,barbell,"['legs', 'back']","['quadriceps', 'gluteal muscles', 'erector spinae']",['core'],compound,['powerlifting'],"On both ends of the barbell, attach a band to the bar and a high peg. This can be done inside of a squat rack or using an alternate setup. Ensure that the band is fully vertical. Deadlift the barbell with the assistance of the band. The band should remain in tension throughout the entire motion."
157,banded bench press,barbell,"['arms', 'chest']","['lower chest', 'triceps']",['shoulders'],compound,['powerlifting'],"On both ends of the barbell, attach a band to the bar and a low peg. This can be done using a squat rack, bench press rack with pin holes, or an alternate setup. Ensure that the band is fully vertical and in tension to start after unracking the bar. Perform a bench press with the barbell against the resistance of the band. The band should be in tension throughout the entire range of motion."
158,t bar row,machine,['back'],"['latissimus dorsi', 'trapezius']",['arms'],compound,[],"Set your feet and shoulder width apart, and grip the t bar. Brace your core and lift the bar slightly off the ground with straight arms and a straight back. Row the bar as close to your body as you can by driving your elbows up, maintaining the same back angle, then returning the bar to its original position slightly above the ground."
